Name, Assign-01, Assign-02, Assign-03, Assign-04, Assign-05, 
Leo, 80.17762871728485, 67.68504031333173, 63.48942925183488, 77.47253523891794, 87.38060480387156, 
Melissa, 68.63101598560915, 82.387347470733, 73.24667236568769, 70.7469144825926, 66.3902938981127, 
Angel, 78.83583767289291, 80.43596498001155, 80.83056310476105, 79.59672204804636, 89.4844916996515, 
Ferdaws, 65.51574634150064, 51.199428993566144, 71.67291354763653, 65.07210388916792, 80.79604489186997, 
Cali, 72.52006417330082, 59.93058316307374, 45.04981492034385, 92.2352608168733, 68.59720529777627, 
Mitchell, 73.03901608167645, 62.789603513356724, 68.6181652069239, 82.416127473995, 68.94117781322014, 
Ola, 63.808297948780776, 72.56845377608562, 69.71328661297005, 74.8856562228126, 74.35339446730603, 
Ze, 82.99473015585991, 75.36807771503612, 85.01860554494687, 69.6631934971675, 76.06102005948695, 
Alvin, 80.43779738736595, 84.65332880667384, 72.85389188484254, 77.3115821698058, 70.09764113142722, 
Cassandra, 70.46682892430137, 78.99853216991714, 61.00896607250557, 79.67452501988497, 69.12926332434239, 
Nicole, 65.45022712196891, 69.06842888178527, 83.00699024068673, 69.18075455496049, 67.91987739378932, 
Maria, 55.80918342338536, 73.91882946598967, 78.3804698784377, 78.26692889611974, 79.51203317757947, 
Patricia, 80.74409127944898, 72.55791721463197, 76.74430800892316, 64.06226130918932, 69.7627256423976, 
Fady, 74.7636141950245, 81.84609778344947, 81.40832157023002, 75.34981026301175, 57.11708972786448, 
Mohammed, 60.81018174477578, 56.78868354824397, 93.50755937950281, 64.84953122337024, 85.47420224590459, 
